Project_ID,Project_Title,Domain,Sub_Domain,Project_Type,Technology,Abstract,Academic_Year,Student_Interest_Tags
P0043,Automated FinTech Detection Framework,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0044,Analysis of FinTech Decision Support System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0045,Automated Database Systems Monitoring Solution,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0046,Development of Web Applications Attendance Platform,Web Development,Web Applications,Software,HTML CSS JavaScript PHP,This software project focuses on web applications under the Web Development domain using HTML CSS JavaScript PHP.,2021-22,Web Applications
P0047,Smart Predictive Analytics Monitoring System,AI/ML,Predictive Analytics,Software,Python Regression,This software project focuses on predictive analytics under the AI/ML domain using Python Regression.,2023-24,Predictive Analytics
P0048,Automated EdTech Decision Support System,Web Development,EdTech,Software,React Django,This software project focuses on edtech under the Web Development domain using React Django.,2021-22,EdTech
P0049,Real-Time Career Platforms Detection Framework,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2023-24,Career Platforms
P0050,Design and Implementation of Database Systems Attendance Platform,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0051,Development of Database Systems Monitoring Solution,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0052,Design and Implementation of Blockchain Systems Detection Framework,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0053,Development of Recommender Systems Monitoring Solution,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2023-24,Recommender Systems
P0054,Intelligent Deep Learning Recommendation Engine,AI/ML,Deep Learning,Software,Python CNN,This software project focuses on deep learning under the AI/ML domain using Python CNN.,2023-24,Deep Learning
P0055,Intelligent AgriTech Attendance Platform,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2021-22,AgriTech
P0056,Development of Computer Vision Detection Framework,AI/ML,Computer Vision,Software,Python YOLO,This software project focuses on computer vision under the AI/ML domain using Python YOLO.,2022-23,Computer Vision
P0057,Analysis of Blockchain Systems Decision Support System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0058,ML-Driven Home Automation Detection Framework,IoT,Home Automation,Hardware + Software,Raspberry Pi Python,This hardware + software project focuses on home automation under the IoT domain using Raspberry Pi Python.,2022-23,Home Automation
P0059,ML-Driven Natural Language Processing Detection Framework,AI/ML,Natural Language Processing,Software,Python BERT,This software project focuses on natural language processing under the AI/ML domain using Python BERT.,2021-22,Natural Language Processing
P0060,Real-Time Database Systems Recommendation Engine,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2023-24,Database Systems
P0061,Design and Implementation of Blockchain Systems Attendance Platform,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0062,Smart Blockchain Systems Monitoring Solution,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0063,ML-Driven Blockchain Systems Detection Framework,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0064,Smart FinTech Management System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0065,Real-Time FinTech Automation System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2021-22,FinTech
P0066,Smart Database Systems Automation System,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0067,Development of E-Commerce Monitoring System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2023-24,E-Commerce
P0068,ML-Driven Healthcare IT Recommendation Engine,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2022-23,Healthcare IT
P0069,Smart Deep Learning Automation System,AI/ML,Deep Learning,Software,Python LSTM,This software project focuses on deep learning under the AI/ML domain using Python LSTM.,2021-22,Deep Learning
P0070,Real-Time Home Automation Prediction Model,IoT,Home Automation,Hardware + Software,Raspberry Pi Python,This hardware + software project focuses on home automation under the IoT domain using Raspberry Pi Python.,2022-23,Home Automation
P0071,ML-Driven E-Commerce Decision Support System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0072,AI-Based Blockchain Systems Monitoring Solution,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0073,Automated Career Platforms Decision Support System,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2021-22,Career Platforms
P0074,Analysis of AgriTech Automation System,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2022-23,AgriTech
P0075,Smart FinTech Recommendation Engine,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0076,Smart Database Systems Monitoring Solution,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0077,Analysis of FinTech Attendance Platform,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0078,Development of Energy Systems Decision Support System,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2021-22,Energy Systems
P0079,Design and Implementation of E-Commerce Monitoring Solution,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0080,Secure FinTech Detection Framework,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0081,Real-Time FinTech Analytics Dashboard,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0082,AI-Based Career Platforms Decision Support System,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2021-22,Career Platforms
P0083,Development of FinTech Automation System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0084,Design and Implementation of Blockchain Systems Decision Support System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0085,Analysis of Web Applications Detection Framework,Web Development,Web Applications,Software,React Node MySQL,This software project focuses on web applications under the Web Development domain using React Node MySQL.,2022-23,Web Applications
P0086,ML-Driven Home Automation Attendance Platform,IoT,Home Automation,Hardware + Software,Raspberry Pi Python,This hardware + software project focuses on home automation under the IoT domain using Raspberry Pi Python.,2021-22,Home Automation
P0087,ML-Driven Computer Vision Monitoring System,AI/ML,Computer Vision,Software,Python YOLO,This software project focuses on computer vision under the AI/ML domain using Python YOLO.,2022-23,Computer Vision
P0088,Smart Deep Learning Management System,AI/ML,Deep Learning,Software,Python CNN,This software project focuses on deep learning under the AI/ML domain using Python CNN.,2022-23,Deep Learning
P0089,Design and Implementation of Career Platforms Decision Support System,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2023-24,Career Platforms
P0090,Design and Implementation of Smart City Decision Support System,IoT,Smart City,Hardware + Software,IoT Sensors Cloud,This hardware + software project focuses on smart city under the IoT domain using IoT Sensors Cloud.,2023-24,Smart City
P0091,ML-Driven Blockchain Systems Recommendation Engine,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0092,Automated Web Applications Attendance Platform,Web Development,Web Applications,Software,React Node MySQL,This software project focuses on web applications under the Web Development domain using React Node MySQL.,2021-22,Web Applications
P0093,Intelligent FinTech Automation System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0094,Secure E-Commerce Recommendation Engine,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2022-23,E-Commerce
P0095,Analysis of Healthcare IT Management System,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2023-24,Healthcare IT
P0096,Secure FinTech Detection Framework,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0097,ML-Driven Blockchain Systems Detection Framework,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0098,ML-Driven Deep Learning Attendance Platform,AI/ML,Deep Learning,Software,Python CNN,This software project focuses on deep learning under the AI/ML domain using Python CNN.,2022-23,Deep Learning
P0099,Automated Web Applications Detection Framework,Web Development,Web Applications,Software,React Node MySQL,This software project focuses on web applications under the Web Development domain using React Node MySQL.,2023-24,Web Applications
P0100,Smart EdTech Prediction Model,Web Development,EdTech,Software,React Django,This software project focuses on edtech under the Web Development domain using React Django.,2022-23,EdTech
P0101,ML-Driven Blockchain Systems Decision Support System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0102,ML-Driven AgriTech Management System,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2023-24,AgriTech
P0103,Secure Energy Systems Monitoring Solution,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2022-23,Energy Systems
P0104,Intelligent Database Systems Attendance Platform,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0105,Design and Implementation of Database Systems Attendance Platform,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0106,AI-Based Recommender Systems Monitoring Solution,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2021-22,Recommender Systems
P0107,Intelligent Blockchain Systems Prediction Model,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0108,AI-Based Energy Systems Decision Support System,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2021-22,Energy Systems
P0109,Intelligent Computer Vision Detection Framework,AI/ML,Computer Vision,Software,Python OpenCV CNN,This software project focuses on computer vision under the AI/ML domain using Python OpenCV CNN.,2023-24,Computer Vision
P0110,AI-Based Deep Learning Monitoring Solution,AI/ML,Deep Learning,Software,Python LSTM,This software project focuses on deep learning under the AI/ML domain using Python LSTM.,2022-23,Deep Learning
P0111,Intelligent Deep Learning Attendance Platform,AI/ML,Deep Learning,Software,Python LSTM,This software project focuses on deep learning under the AI/ML domain using Python LSTM.,2021-22,Deep Learning
P0112,Secure FinTech Automation System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0113,Smart AgriTech Detection Framework,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2023-24,AgriTech
P0114,ML-Driven Smart City Attendance Platform,IoT,Smart City,Hardware + Software,Arduino Sensors MQTT,This hardware + software project focuses on smart city under the IoT domain using Arduino Sensors MQTT.,2021-22,Smart City
P0115,ML-Driven AgriTech Automation System,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2021-22,AgriTech
P0116,Real-Time Blockchain Systems Automation System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0117,Analysis of E-Commerce Monitoring Solution,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0118,Real-Time Recommender Systems Decision Support System,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2023-24,Recommender Systems
P0119,ML-Driven Energy Systems Automation System,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2023-24,Energy Systems
P0120,Intelligent E-Commerce Analytics Dashboard,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0121,Secure FinTech Analytics Dashboard,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2021-22,FinTech
P0122,Intelligent Home Automation Management System,IoT,Home Automation,Hardware + Software,Raspberry Pi Python,This hardware + software project focuses on home automation under the IoT domain using Raspberry Pi Python.,2023-24,Home Automation
P0123,AI-Based Database Systems Automation System,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0124,Secure Blockchain Systems Monitoring Solution,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0125,ML-Driven AgriTech Analytics Dashboard,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2021-22,AgriTech
P0126,Development of Healthcare IT Attendance Platform,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2022-23,Healthcare IT
P0127,Real-Time Healthcare IT Prediction Model,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2021-22,Healthcare IT
P0128,Development of Database Systems Decision Support System,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0129,Intelligent FinTech Attendance Platform,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0130,Analysis of Energy Systems Decision Support System,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2023-24,Energy Systems
P0131,Intelligent AgriTech Analytics Dashboard,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2021-22,AgriTech
P0132,Smart Blockchain Systems Recommendation Engine,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0133,Intelligent Blockchain Systems Management System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0134,Automated AgriTech Monitoring System,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2021-22,AgriTech
P0135,AI-Based Computer Vision Monitoring System,AI/ML,Computer Vision,Software,Python OpenCV CNN,This software project focuses on computer vision under the AI/ML domain using Python OpenCV CNN.,2023-24,Computer Vision
P0136,Development of Predictive Analytics Attendance Platform,AI/ML,Predictive Analytics,Software,Python Regression,This software project focuses on predictive analytics under the AI/ML domain using Python Regression.,2022-23,Predictive Analytics
P0137,Development of Web Applications Recommendation Engine,Web Development,Web Applications,Software,HTML CSS JavaScript PHP,This software project focuses on web applications under the Web Development domain using HTML CSS JavaScript PHP.,2021-22,Web Applications
P0138,AI-Based Deep Learning Attendance Platform,AI/ML,Deep Learning,Software,Python CNN,This software project focuses on deep learning under the AI/ML domain using Python CNN.,2022-23,Deep Learning
P0139,Automated Recommender Systems Decision Support System,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2023-24,Recommender Systems
P0140,Smart Career Platforms Analytics Dashboard,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2021-22,Career Platforms
P0141,Secure Healthcare IT Monitoring System,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2021-22,Healthcare IT
P0142,Development of Recommender Systems Automation System,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2022-23,Recommender Systems
P0143,AI-Based Natural Language Processing Monitoring System,AI/ML,Natural Language Processing,Software,Python BERT,This software project focuses on natural language processing under the AI/ML domain using Python BERT.,2022-23,Natural Language Processing
P0144,Development of Natural Language Processing Attendance Platform,AI/ML,Natural Language Processing,Software,Python NLP Scikit-learn,This software project focuses on natural language processing under the AI/ML domain using Python NLP Scikit-learn.,2023-24,Natural Language Processing
P0145,Real-Time AgriTech Prediction Model,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2022-23,AgriTech
P0146,Real-Time Predictive Analytics Detection Framework,AI/ML,Predictive Analytics,Software,Python Regression,This software project focuses on predictive analytics under the AI/ML domain using Python Regression.,2022-23,Predictive Analytics
P0147,Analysis of Blockchain Systems Recommendation Engine,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0148,AI-Based Recommender Systems Monitoring System,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2022-23,Recommender Systems
P0149,Development of Database Systems Decision Support System,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0150,Smart Healthcare IT Automation System,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2022-23,Healthcare IT
P0151,Analysis of Career Platforms Monitoring Solution,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2023-24,Career Platforms
P0152,Smart Deep Learning Monitoring System,AI/ML,Deep Learning,Software,Python LSTM,This software project focuses on deep learning under the AI/ML domain using Python LSTM.,2022-23,Deep Learning
